ds,avg_daily_air_temp_celsius_helsinki
2006-09-20,14.487500000000002
2006-09-21,14.187500000000002
2006-09-22,15.3
2006-09-23,14.025
2006-09-24,14.274999999999999
2006-09-25,12.5125
2006-09-26,11.0
2006-09-27,13.5875
2006-09-28,14.000000000000002
2006-09-29,12.325000000000001
2006-09-30,12.049999999999999
2006-10-01,11.150000000000002
2006-10-02,12.875
2006-10-03,12.875
2006-10-04,13.724999999999998
2006-10-05,13.262500000000001
2006-10-06,12.312500000000002
2006-10-07,12.024999999999999
2006-10-08,13.150000000000002
2006-10-09,11.1375
2006-10-10,7.2625
2006-10-11,9.7875
2006-10-13,7.650000000000001
2006-10-14,10.075000000000001
2006-10-15,7.3125
2006-10-19,4.45
2006-10-20,3.8249999999999997
2006-10-21,6.175
2006-10-22,10.6625
2006-10-23,11.8875
2006-10-24,12.700000000000001
2006-10-25,8.637500000000001
2006-10-26,4.35
2006-10-27,9.8625
2006-10-28,2.9375
2006-10-29,-0.8444444444444444
2006-10-30,1.1625
2006-10-31,1.9124999999999999
2006-11-01,-0.7125000000000001
2006-11-02,-3.3874999999999997
2006-11-03,-3.5624999999999996
2006-11-04,-5.075
2006-11-05,-6.0874999999999995
2006-11-06,0.5625
2006-11-07,3.9374999999999996
2006-11-08,3.2874999999999996
2006-11-09,-1.125
2006-11-10,-1.1124999999999998
2006-11-11,-0.5874999999999998
2006-11-12,1.0875
2006-11-13,-0.975
2006-11-14,1.9749999999999996
2006-11-15,4.3999999999999995
2006-11-16,2.35
2006-11-17,4.2124999999999995
2006-11-18,6.512499999999999
2006-11-19,6.4125000000000005
2006-11-20,5.0125
2006-11-21,5.262499999999999
2006-11-22,6.575000000000001
2006-11-23,4.950000000000001
2006-11-24,6.5375000000000005
2006-11-25,7.375
2006-11-26,7.699999999999999
2006-11-27,6.6375
2006-11-28,6.05
2006-11-29,6.1125
2006-11-30,6.7124999999999995
2006-12-01,6.5125
2006-12-02,6.6000000000000005
2006-12-03,6.3
2006-12-04,6.3
2006-12-05,6.6875
2006-12-06,8.237499999999999
2006-12-07,7.262499999999999
2006-12-08,6.9875
2006-12-09,7.500000000000001
2006-12-10,6.812499999999999
2006-12-11,6.299999999999999
2006-12-12,6.424999999999999
2006-12-13,6.0875
2006-12-14,6.2625
2006-12-15,6.8625
2006-12-16,3.8125000000000004
2006-12-17,0.9750000000000001
2006-12-18,-0.4
2006-12-19,-3.4374999999999996
2006-12-20,1.5
2006-12-21,2.966666666666667
2006-12-22,3.2375
2006-12-23,4.15
2006-12-24,4.0625
2006-12-25,-3.025
2006-12-26,1.7125000000000001
2006-12-27,3.725
2006-12-28,1.1249999999999998
2006-12-29,-2.725
2006-12-30,2.2375
2006-12-31,4.15
2007-01-01,3.3875
2007-01-02,3.0749999999999993
2007-01-03,2.0124999999999997
2007-01-04,3.3625000000000003
2007-01-05,4.1625
2007-01-06,0.9000000000000002
2007-01-07,2.1375
2007-01-08,5.05
2007-01-09,5.4625
2007-01-10,6.4
2007-01-11,0.3375
2007-01-12,-2.825
2007-01-13,0.5
2007-01-14,2.1
2007-01-15,0.875
2007-01-16,4.3500000000000005
2007-01-17,1.9250000000000003
2007-01-18,3.2375
2007-01-19,-0.5
2007-01-20,-3.9749999999999996
2007-01-21,-3.999999999999999
2007-01-22,-9.462499999999999
2007-01-23,-9.075
2007-01-24,-2.7624999999999997
2007-01-25,-8.7125
2007-01-26,-0.33749999999999997
2007-01-27,-5.9625
2007-01-28,-9.75
2007-01-29,-10.249999999999998
2007-01-30,-9.962499999999999
2007-01-31,-4.375
2007-02-01,-5.112500000000001
2007-02-02,0.275
2007-02-03,0.7875
2007-02-04,-0.17499999999999996
2007-02-05,-6.512500000000001
2007-02-06,-17.3875
2007-02-07,-17.8125
2007-02-08,-13.3625
2007-02-09,-13.325
2007-02-10,-15.462499999999999
2007-02-11,-6.2125
2007-02-12,-4.925000000000001
2007-02-13,-6.875000000000001
2007-02-14,-7.45
2007-02-15,-4.9625
2007-02-16,-2.8
2007-02-17,0.675
2007-02-18,0.4874999999999998
2007-02-19,-10.424999999999999
2007-02-20,-15.087499999999999
2007-02-22,-15.1
2007-02-23,-14.075
2007-02-24,-9.462499999999999
2007-02-25,-7.5875
2007-02-26,-6.9
2007-02-27,-5.199999999999999
2007-02-28,-2.0999999999999996
2007-03-01,0.15000000000000002
2007-03-02,0.8124999999999999
2007-03-04,0.8625
2007-03-05,0.0
2007-03-06,-1.4125000000000003
2007-03-07,1.5625
2007-03-08,2.225
2007-03-09,1.3499999999999999
2007-03-10,1.4625
2007-03-11,3.4250000000000007
2007-03-12,1.1375
2007-03-13,3.5999999999999996
2007-03-14,3.8625
2007-03-15,2.7
2007-03-16,3.7875
2007-03-17,1.0750000000000002
2007-03-18,0.95
2007-03-19,2.4125
2007-03-20,2.9
2007-03-21,3.4
2007-03-22,4.7250000000000005
2007-03-23,3.6125
2007-03-24,5.1125
2007-03-25,6.314285714285715
2007-03-26,7.625
2007-03-27,7.3625
2007-03-28,6.4750000000000005
2007-03-29,5.3875
2007-03-30,6.1375
2007-03-31,4.9
2007-04-01,4.5625
2007-04-02,7.325
2007-04-03,4.137499999999999
2007-04-04,-0.6375
2007-04-05,4.425
2007-04-06,2.7
2007-04-07,1.725
2007-04-08,1.3
2007-04-09,0.7375
2007-04-10,2.625
2007-04-11,6.0125
2007-04-12,7.1375
2007-04-13,6.824999999999999
2007-04-14,10.7125
2007-04-15,8.549999999999999
2007-04-16,7.942857142857144
2007-04-17,8.525
2007-04-18,8.562499999999998
2007-04-19,3.9125
2007-04-20,4.9125
2007-04-21,3.8
2007-04-22,6.612500000000001
2007-04-23,3.8625
2007-04-24,6.437500000000001
2007-04-25,6.8625
2007-04-26,7.900000000000001
2007-04-27,12.037500000000001
2007-04-28,7.737500000000001
2007-04-29,4.550000000000001
2007-04-30,3.485714285714286
2007-05-01,2.957142857142857
2007-05-02,4.2375
2007-05-03,4.6375
2007-05-04,4.625
2007-05-05,4.0625
2007-05-06,8.912500000000001
2007-05-07,9.6875
2007-05-08,6.699999999999999
2007-05-09,7.5
2007-05-10,10.225
2007-05-12,8.837499999999999
2007-05-13,9.275
2007-05-14,9.524999999999999
2007-05-15,10.387500000000001
2007-05-16,8.35
2007-05-17,10.362499999999999
2007-05-18,11.674999999999999
2007-05-19,11.625000000000002
2007-05-20,12.5625
2007-05-21,12.974999999999998
2007-05-22,12.2
2007-05-23,12.275
2007-05-24,10.35
2007-05-25,11.55
2007-05-26,13.725000000000001
2007-05-27,14.075
2007-05-28,18.225
2007-05-29,20.3875
2007-05-30,15.624999999999998
2007-05-31,16.7625
2007-06-01,14.2125
2007-06-02,12.95
2007-06-03,13.487499999999997
2007-06-04,15.962499999999999
2007-06-05,16.462500000000002
2007-06-06,19.7375
2007-06-07,19.7125
2007-06-08,20.275000000000002
2007-06-09,21.1
2007-06-10,18.249999999999996
2007-06-11,15.775
2007-06-12,15.6875
2007-06-13,15.412499999999998
2007-06-14,11.675
2007-06-15,13.512500000000001
2007-06-16,14.0375
2007-06-17,14.250000000000002
2007-06-18,13.675
2007-06-19,14.962500000000002
2007-06-20,14.700000000000001
2007-06-21,15.0125
2007-06-22,15.6625
2007-06-23,15.0
2007-06-24,17.662499999999998
2007-06-25,19.125
2007-06-26,14.057142857142859
2007-06-27,13.475
2007-06-28,13.15
2007-06-29,14.2375
2007-06-30,15.8125
2007-07-01,17.3625
2007-07-03,19.075000000000003
2007-07-04,20.4
2007-07-05,21.0
2007-07-06,18.037499999999998
2007-07-07,17.8875
2007-07-08,17.325
2007-07-09,16.1625
2007-07-10,16.687500000000004
2007-07-11,15.8625
2007-07-12,16.950000000000003
2007-07-13,18.15
2007-07-14,17.650000000000002
2007-07-15,17.025000000000002
2007-07-16,19.3375
2007-07-17,19.037499999999998
2007-07-18,18.6375
2007-07-19,17.775
2007-07-20,15.775000000000002
2007-07-21,15.25
2007-07-22,16.3
2007-07-23,16.4375
2007-07-24,16.1
2007-07-25,17.7625
2007-07-26,20.4875
2007-07-27,18.4125
2007-07-28,17.114285714285717
2007-07-29,16.0125
2007-07-30,15.175
2007-07-31,13.850000000000001
2007-08-01,16.3875
2007-08-02,16.099999999999998
2007-08-03,16.75
2007-08-04,18.3375
2007-08-05,18.5875
2007-08-06,19.237499999999997
2007-08-07,21.025000000000002
2007-08-08,21.475000000000005
2007-08-09,21.062500000000004
2007-08-10,21.125
2007-08-11,21.8375
2007-08-12,21.5375
2007-08-13,22.8125
2007-08-14,20.95
2007-08-15,19.5375
2007-08-16,20.362500000000004
2007-08-17,19.7
2007-08-18,17.2875
2007-08-19,17.35
2007-08-20,16.662499999999998
2007-08-21,18.499999999999996
2007-08-22,19.162499999999998
2007-08-23,17.9125
2007-08-24,19.075000000000003
2007-08-25,17.5625
2007-08-26,14.3375
2007-08-27,12.975
2007-08-28,10.8625
2007-08-29,10.9
2007-08-31,8.9375
2007-09-01,8.437499999999998
2007-09-02,12.274999999999999
2007-09-03,14.687499999999998
2007-09-04,12.437500000000002
2007-09-05,12.075
2007-09-06,13.475000000000001
2007-09-07,11.4375
2007-09-08,10.3375
2007-09-09,11.6375
2007-09-10,11.3125
2007-09-11,10.8875
2007-09-12,12.912500000000001
2007-09-13,10.624999999999998
2007-09-14,9.3
2007-09-15,11.837499999999999
2007-09-16,9.075000000000001
2007-09-17,11.6875
2007-09-18,11.387500000000001
2007-09-19,8.9375
2007-09-20,10.812500000000002
2007-09-21,13.45
2007-09-22,13.1
2007-09-23,11.512500000000001
2007-09-25,14.475000000000001
2007-09-26,13.812500000000002
2007-09-27,12.9125
2007-09-28,10.4375
2007-09-29,13.262500000000001
2007-09-30,14.112499999999999
2007-10-01,13.375000000000002
2007-10-02,12.9
2007-10-03,10.55
2007-10-04,12.4125
2007-10-05,11.5875
2007-10-06,11.875
2007-10-07,10.450000000000001
2007-10-08,9.3375
2007-10-09,6.9625
2007-10-10,5.7250000000000005
2007-10-11,3.6625000000000005
2007-10-12,3.5250000000000004
2007-10-13,2.8125
2007-10-14,3.2875
2007-10-15,9.5375
2007-10-16,9.3375
2007-10-17,11.525
2007-10-18,7.012500000000001
2007-10-19,5.05
2007-10-20,1.7125
2007-10-21,-0.2500000000000001
2007-10-22,1.5750000000000002
2007-10-23,1.9375
2007-10-24,5.137499999999999
2007-10-26,6.9624999999999995
2007-10-27,7.1375
2007-10-28,8.3875
2007-10-29,9.8875
2007-10-30,9.487499999999999
2007-10-31,7.4625
2007-11-01,8.2625
2007-11-02,4.862500000000001
2007-11-03,0.3250000000000001
2007-11-04,-1.25
2007-11-05,0.3124999999999999
2007-11-06,3.5374999999999996
2007-11-07,2.5875000000000004
2007-11-08,4.05
2007-11-09,4.225
